OPR_DATE,HOUR_ENDING,LOADING_MW_ACTUAL_CAISO,LOADING_MW_ACTUAL_PGE,LOADING_MW_ACTUAL_SCE,LOADING_MW_ACTUAL_SDGE,LOADING_MW_FORECAST_CAISO,LOADING_MW_FORECAST_PGE,LOADING_MW_FORECAST_SCE,LOADING_MW_FORECAST_SDGE,GAS_PRICE_PGE,GAS_PRICE_SCE,DA_LMP_PGE_NP15
01/01/2020 ,1,21599,10206,9184,1997,21435.42,9508.59,9629.07,2073,4.32,6.72,32.76
01/01/2020 ,2,20879,9866,8876,1921,20588.07,9110.89,9267.97,1978,4.32,6.72,30.9
01/01/2020 ,3,20351,9605,8667,1861,19945.37,8845.81,8969.49,1902,4.32,6.72,32.16
01/01/2020 ,4,20064,9453,8563,1833,19577.51,8700.1,8789.28,1859,4.32,6.72,31.24
01/01/2020 ,5,20016,9389,8562,1847,19556.87,8721.99,8758.03,1846,4.32,6.72,30.98
01/01/2020 ,6,20342,9460,8749,1910,19951.25,8925.99,8902.86,1887,4.32,6.72,33.18
01/01/2020 ,7,20734,9633,8900,1972,20693.42,9343.04,9104.22,2007,4.32,6.72,33.88
01/01/2020 ,8,20725,9818,8757,1919,20510.66,9476.32,8827.72,1979,4.32,6.72,32.7
01/01/2020 ,9,20446,9903,8532,1786,20020.77,9324.41,8599.9,1887,4.32,6.72,29.3
01/01/2020 ,10,19853,9693,8261,1689,19500.85,9161.12,8347.06,1795,4.32,6.72,23.5
01/01/2020 ,11,19277,9484,7986,1603,19065.02,8953.76,8220.72,1700,4.32,6.72,20.8
01/01/2020 ,12,18946,9349,7845,1552,18677.9,8723.42,8141.89,1628,4.32,6.72,19.34
01/01/2020 ,13,18821,9308,7758,1561,18609.42,8657.91,8138.38,1639,4.32,6.72,16.51
01/01/2020 ,14,19158,9498,7900,1575,18658.7,8574.51,8237.82,1677,4.32,6.72,14.08
01/01/2020 ,15,20181,9997,8254,1745,19129.75,8728.44,8449.83,1785,4.32,6.72,17.55
01/01/2020 ,16,21302,10423,8703,1987,20071.41,9190.31,8791.27,1912,4.32,6.72,25.55
01/01/2020 ,17,22778,10783,9521,2277,21943.95,10111.35,9460.47,2178,4.32,6.72,34.48
01/01/2020 ,18,24688,11446,10524,2515,25049.08,11422.9,10842.38,2578,4.32,6.72,38.19
01/01/2020 ,19,24972,11520,10722,2525,25507.8,11578.31,11094.45,2626,4.32,6.72,37.89
01/01/2020 ,20,24748,11444,10633,2465,25134.66,11351.44,11000.3,2568,4.32,6.72,37.32
01/01/2020 ,21,24206,11256,10365,2378,24467.26,11026.12,10752.37,2473,4.32,6.72,37.37
01/01/2020 ,22,23246,10773,10020,2251,23551.17,10578.51,10389.17,2373,4.32,6.72,35.05
01/01/2020 ,23,21926,10166,9492,2077,22208.69,9929.61,9854.73,2213,4.32,6.72,31.62
01/01/2020 ,24,20721,9628,8967,1923,20803.79,9280.79,9264.26,2046,4.32,6.72,30.31
01/02/2020 ,1,19951,9345,8553,1849,19961.85,8706.98,9124.19,1934.51,4.32,6.72,29.34
01/02/2020 ,2,19424,9063,8344,1812,19244.71,8359.2,8816.12,1869.42,4.32,6.72,30.03
01/02/2020 ,3,19117,8908,8201,1801,18829.16,8194.17,8606.84,1824.61,4.32,6.72,27.67
01/02/2020 ,4,19234,8969,8285,1772,18793.79,8208.2,8571.31,1813.86,4.32,6.72,29.55
01/02/2020 ,5,19993,9245,8689,1849,19310.22,8401.39,8828.62,1874.77,4.32,6.72,29.55
01/02/2020 ,6,21295,9690,9372,2019,20908.34,9083.74,9565.81,2045.12,4.32,6.72,35.13
01/02/2020 ,7,23122,10563,10142,2206,23514.72,10264.38,10699.62,2326.78,4.32,6.72,41.14
01/02/2020 ,8,24141,11147,10561,2236,24760.46,11103.36,11033.88,2397.22,4.32,6.72,41.65
